case,from_node,to_node,evidence_status,source,delay_rule,baseline_split,split_status,limitations
MANADO,S2,J0,conceptual storage/control ordering from report; not surveyed,"Manado report pp. 3, 5, 12, 19: separate mainstem/Tikala, conceptual control sequence and topology metrics.",one logical link in unit-delay mode; synthetic 1-4 ticks in heterogeneous mode,1.0,all routed load to next coarse node,"Controls are functional aggregates, not surveyed chainage. Zero-delay connector edges avoid adding travel merely because a storage box was drawn. Hydropower operation is not simulated. Release times are hypothetical."
MANADO,T,J0,report-supported coarse relationship,"Manado report pp. 3, 5, 12, 19: separate mainstem/Tikala, conceptual control sequence and topology metrics.",one logical link in unit-delay mode; synthetic 1-4 ticks in heterogeneous mode,1.0,all routed load to next coarse node,"Controls are functional aggregates, not surveyed chainage. Zero-delay connector edges avoid adding travel merely because a storage box was drawn. Hydropower operation is not simulated. Release times are hypothetical."
MANADO,J0,R,report-supported coarse relationship,"Manado report pp. 3, 5, 12, 19: separate mainstem/Tikala, conceptual control sequence and topology metrics.",one logical link in unit-delay mode; synthetic 1-4 ticks in heterogeneous mode,1.0,all routed load to next coarse node,"Controls are functional aggregates, not surveyed chainage. Zero-delay connector edges avoid adding travel merely because a storage box was drawn. Hydropower operation is not simulated. Release times are hypothetical."
MANADO,L,R,report-supported coarse relationship,"Manado report pp. 3, 5, 12, 19: separate mainstem/Tikala, conceptual control sequence and topology metrics.",one logical link in unit-delay mode; synthetic 1-4 ticks in heterogeneous mode,1.0,all routed load to next coarse node,"Controls are functional aggregates, not surveyed chainage. Zero-delay connector edges avoid adding travel merely because a storage box was drawn. Hydropower operation is not simulated. Release times are hypothetical."
MANADO,R,O,report-supported coarse relationship,"Manado report pp. 3, 5, 12, 19: separate mainstem/Tikala, conceptual control sequence and topology metrics.",one logical link in unit-delay mode; synthetic 1-4 ticks in heterogeneous mode,1.0,all routed load to next coarse node,"Controls are functional aggregates, not surveyed chainage. Zero-delay connector edges avoid adding travel merely because a storage box was drawn. Hydropower operation is not simulated. Release times are hypothetical."
KURANJI,K,Z,report-supported membership; exact point junction aggregated / unspecified,"Kuranji report pp. 1-3, 7, 13, 21: five-subbasin partition and conceptual confluence network.",one logical link in unit-delay mode; synthetic 1-4 ticks in heterogeneous mode,1.0,all routed load to next coarse node,Z is NOT a verified five-way point junction. The report does not give the complete order of the five branches. All 105 binary refinements are separately tested as uncertainty alternatives. No extra urban source is added to a partition already totaling 202.69 km2.
KURANJI,B,Z,report-supported membership; exact point junction aggregated / unspecified,"Kuranji report pp. 1-3, 7, 13, 21: five-subbasin partition and conceptual confluence network.",one logical link in unit-delay mode; synthetic 1-4 ticks in heterogeneous mode,1.0,all routed load to next coarse node,Z is NOT a verified five-way point junction. The report does not give the complete order of the five branches. All 105 binary refinements are separately tested as uncertainty alternatives. No extra urban source is added to a partition already totaling 202.69 km2.
KURANJI,S,Z,report-supported membership; exact point junction aggregated / unspecified,"Kuranji report pp. 1-3, 7, 13, 21: five-subbasin partition and conceptual confluence network.",one logical link in unit-delay mode; synthetic 1-4 ticks in heterogeneous mode,1.0,all routed load to next coarse node,Z is NOT a verified five-way point junction. The report does not give the complete order of the five branches. All 105 binary refinements are separately tested as uncertainty alternatives. No extra urban source is added to a partition already totaling 202.69 km2.
KURANJI,J,Z,report-supported membership; exact point junction aggregated / unspecified,"Kuranji report pp. 1-3, 7, 13, 21: five-subbasin partition and conceptual confluence network.",one logical link in unit-delay mode; synthetic 1-4 ticks in heterogeneous mode,1.0,all routed load to next coarse node,Z is NOT a verified five-way point junction. The report does not give the complete order of the five branches. All 105 binary refinements are separately tested as uncertainty alternatives. No extra urban source is added to a partition already totaling 202.69 km2.
KURANJI,M,Z,report-supported membership; exact point junction aggregated / unspecified,"Kuranji report pp. 1-3, 7, 13, 21: five-subbasin partition and conceptual confluence network.",one logical link in unit-delay mode; synthetic 1-4 ticks in heterogeneous mode,1.0,all routed load to next coarse node,Z is NOT a verified five-way point junction. The report does not give the complete order of the five branches. All 105 binary refinements are separately tested as uncertainty alternatives. No extra urban source is added to a partition already totaling 202.69 km2.
KURANJI,Z,R,report-supported membership; exact point junction aggregated / unspecified,"Kuranji report pp. 1-3, 7, 13, 21: five-subbasin partition and conceptual confluence network.",one logical link in unit-delay mode; synthetic 1-4 ticks in heterogeneous mode,1.0,all routed load to next coarse node,Z is NOT a verified five-way point junction. The report does not give the complete order of the five branches. All 105 binary refinements are separately tested as uncertainty alternatives. No extra urban source is added to a partition already totaling 202.69 km2.
KURANJI,R,O,report-supported membership; exact point junction aggregated / unspecified,"Kuranji report pp. 1-3, 7, 13, 21: five-subbasin partition and conceptual confluence network.",one logical link in unit-delay mode; synthetic 1-4 ticks in heterogeneous mode,1.0,all routed load to next coarse node,Z is NOT a verified five-way point junction. The report does not give the complete order of the five branches. All 105 binary refinements are separately tested as uncertainty alternatives. No extra urban source is added to a partition already totaling 202.69 km2.
HUE,T,S0,report-supported coarse relationship,"Huong report pp. 3, 6, 10-12, 22: Tuan-Hue-Sinh sequence, three control nodes, lagoon/inlet system.",zero-delay control connector,1.0,all routed load to next coarse node,"Bo is NEVER added upstream of Hue in the reference. The residual floodplain source is provisionally injected at Sinh, not assigned wholly to Hue; an alternative location is tested. Lagoon/distributaries are aggregated, and 50:50 inlet splitting is assumed, not measured. No reverse/backwater propagation is modeled."
HUE,H,S1,report-supported coarse relationship,"Huong report pp. 3, 6, 10-12, 22: Tuan-Hue-Sinh sequence, three control nodes, lagoon/inlet system.",zero-delay control connector,1.0,all routed load to next coarse node,"Bo is NEVER added upstream of Hue in the reference. The residual floodplain source is provisionally injected at Sinh, not assigned wholly to Hue; an alternative location is tested. Lagoon/distributaries are aggregated, and 50:50 inlet splitting is assumed, not measured. No reverse/backwater propagation is modeled."
HUE,B,S2,report-supported coarse relationship,"Huong report pp. 3, 6, 10-12, 22: Tuan-Hue-Sinh sequence, three control nodes, lagoon/inlet system.",zero-delay control connector,1.0,all routed load to next coarse node,"Bo is NEVER added upstream of Hue in the reference. The residual floodplain source is provisionally injected at Sinh, not assigned wholly to Hue; an alternative location is tested. Lagoon/distributaries are aggregated, and 50:50 inlet splitting is assumed, not measured. No reverse/backwater propagation is modeled."
HUE,S0,J0,report-supported coarse relationship,"Huong report pp. 3, 6, 10-12, 22: Tuan-Hue-Sinh sequence, three control nodes, lagoon/inlet system.",one logical link in unit-delay mode; synthetic 1-4 ticks in heterogeneous mode,1.0,all routed load to next coarse node,"Bo is NEVER added upstream of Hue in the reference. The residual floodplain source is provisionally injected at Sinh, not assigned wholly to Hue; an alternative location is tested. Lagoon/distributaries are aggregated, and 50:50 inlet splitting is assumed, not measured. No reverse/backwater propagation is modeled."
HUE,S1,J0,report-supported coarse relationship,"Huong report pp. 3, 6, 10-12, 22: Tuan-Hue-Sinh sequence, three control nodes, lagoon/inlet system.",one logical link in unit-delay mode; synthetic 1-4 ticks in heterogeneous mode,1.0,all routed load to next coarse node,"Bo is NEVER added upstream of Hue in the reference. The residual floodplain source is provisionally injected at Sinh, not assigned wholly to Hue; an alternative location is tested. Lagoon/distributaries are aggregated, and 50:50 inlet splitting is assumed, not measured. No reverse/backwater propagation is modeled."
HUE,J0,U,report-supported coarse relationship,"Huong report pp. 3, 6, 10-12, 22: Tuan-Hue-Sinh sequence, three control nodes, lagoon/inlet system.",one logical link in unit-delay mode; synthetic 1-4 ticks in heterogeneous mode,1.0,all routed load to next coarse node,"Bo is NEVER added upstream of Hue in the reference. The residual floodplain source is provisionally injected at Sinh, not assigned wholly to Hue; an alternative location is tested. Lagoon/distributaries are aggregated, and 50:50 inlet splitting is assumed, not measured. No reverse/backwater propagation is modeled."
HUE,U,J1,report-supported coarse relationship,"Huong report pp. 3, 6, 10-12, 22: Tuan-Hue-Sinh sequence, three control nodes, lagoon/inlet system.",one logical link in unit-delay mode; synthetic 1-4 ticks in heterogeneous mode,1.0,all routed load to next coarse node,"Bo is NEVER added upstream of Hue in the reference. The residual floodplain source is provisionally injected at Sinh, not assigned wholly to Hue; an alternative location is tested. Lagoon/distributaries are aggregated, and 50:50 inlet splitting is assumed, not measured. No reverse/backwater propagation is modeled."
HUE,S2,J1,report-supported coarse relationship,"Huong report pp. 3, 6, 10-12, 22: Tuan-Hue-Sinh sequence, three control nodes, lagoon/inlet system.",one logical link in unit-delay mode; synthetic 1-4 ticks in heterogeneous mode,1.0,all routed load to next coarse node,"Bo is NEVER added upstream of Hue in the reference. The residual floodplain source is provisionally injected at Sinh, not assigned wholly to Hue; an alternative location is tested. Lagoon/distributaries are aggregated, and 50:50 inlet splitting is assumed, not measured. No reverse/backwater propagation is modeled."
HUE,L,J1,uncertain residual location: provisional Sinh injection; alternative tested,"Huong report pp. 3, 6, 10-12, 22: Tuan-Hue-Sinh sequence, three control nodes, lagoon/inlet system.",one logical link in unit-delay mode; synthetic 1-4 ticks in heterogeneous mode,1.0,all routed load to next coarse node,"Bo is NEVER added upstream of Hue in the reference. The residual floodplain source is provisionally injected at Sinh, not assigned wholly to Hue; an alternative location is tested. Lagoon/distributaries are aggregated, and 50:50 inlet splitting is assumed, not measured. No reverse/backwater propagation is modeled."
HUE,J1,R,report-supported coarse relationship,"Huong report pp. 3, 6, 10-12, 22: Tuan-Hue-Sinh sequence, three control nodes, lagoon/inlet system.",one logical link in unit-delay mode; synthetic 1-4 ticks in heterogeneous mode,1.0,all routed load to next coarse node,"Bo is NEVER added upstream of Hue in the reference. The residual floodplain source is provisionally injected at Sinh, not assigned wholly to Hue; an alternative location is tested. Lagoon/distributaries are aggregated, and 50:50 inlet splitting is assumed, not measured. No reverse/backwater propagation is modeled."
HUE,R,O0,report-supported coarse relationship,"Huong report pp. 3, 6, 10-12, 22: Tuan-Hue-Sinh sequence, three control nodes, lagoon/inlet system.",one logical link in unit-delay mode; synthetic 1-4 ticks in heterogeneous mode,0.5,"assumed equal split, not measured","Bo is NEVER added upstream of Hue in the reference. The residual floodplain source is provisionally injected at Sinh, not assigned wholly to Hue; an alternative location is tested. Lagoon/distributaries are aggregated, and 50:50 inlet splitting is assumed, not measured. No reverse/backwater propagation is modeled."
HUE,R,O1,report-supported coarse relationship,"Huong report pp. 3, 6, 10-12, 22: Tuan-Hue-Sinh sequence, three control nodes, lagoon/inlet system.",one logical link in unit-delay mode; synthetic 1-4 ticks in heterogeneous mode,0.5,"assumed equal split, not measured","Bo is NEVER added upstream of Hue in the reference. The residual floodplain source is provisionally injected at Sinh, not assigned wholly to Hue; an alternative location is tested. Lagoon/distributaries are aggregated, and 50:50 inlet splitting is assumed, not measured. No reverse/backwater propagation is modeled."
KADAMAIAN,K,J0,report-supported coarse relationship,"Kadamaian-Panataran report pp. 2-3, 7, 11: two inlet branches plus residual 108.28 km2.",one logical link in unit-delay mode; synthetic 1-4 ticks in heterogeneous mode,1.0,all routed load to next coarse node,"The extended lowland network is unresolved. A single O is a boundary aggregate, NOT evidence of only one actual coastal route. Sediment-generated active threads are not reconstructed."
KADAMAIAN,P,J0,report-supported coarse relationship,"Kadamaian-Panataran report pp. 2-3, 7, 11: two inlet branches plus residual 108.28 km2.",one logical link in unit-delay mode; synthetic 1-4 ticks in heterogeneous mode,1.0,all routed load to next coarse node,"The extended lowland network is unresolved. A single O is a boundary aggregate, NOT evidence of only one actual coastal route. Sediment-generated active threads are not reconstructed."
KADAMAIAN,J0,R,report-supported coarse relationship,"Kadamaian-Panataran report pp. 2-3, 7, 11: two inlet branches plus residual 108.28 km2.",one logical link in unit-delay mode; synthetic 1-4 ticks in heterogeneous mode,1.0,all routed load to next coarse node,"The extended lowland network is unresolved. A single O is a boundary aggregate, NOT evidence of only one actual coastal route. Sediment-generated active threads are not reconstructed."
KADAMAIAN,L,R,report-supported coarse relationship,"Kadamaian-Panataran report pp. 2-3, 7, 11: two inlet branches plus residual 108.28 km2.",one logical link in unit-delay mode; synthetic 1-4 ticks in heterogeneous mode,1.0,all routed load to next coarse node,"The extended lowland network is unresolved. A single O is a boundary aggregate, NOT evidence of only one actual coastal route. Sediment-generated active threads are not reconstructed."
KADAMAIAN,R,O,receiving boundary aggregate; not verified single physical outlet,"Kadamaian-Panataran report pp. 2-3, 7, 11: two inlet branches plus residual 108.28 km2.",one logical link in unit-delay mode; synthetic 1-4 ticks in heterogeneous mode,1.0,all routed load to next coarse node,"The extended lowland network is unresolved. A single O is a boundary aggregate, NOT evidence of only one actual coastal route. Sediment-generated active threads are not reconstructed."
HATYAI,U,Urb,report-supported membership; exact point junction aggregated / unspecified,"Hat Yai report pp. 3, 10, 21, 24-26: distinct inputs, two principal lakeward corridors and common receiving lake.",one logical link in unit-delay mode; synthetic 1-4 ticks in heterogeneous mode,1.0,all routed load to next coarse node,"Urb is a shared floodplain entry aggregate, not a claim that six streams meet at a single point. Canal split 50:50 is a neutral assumption. Lake restriction is represented only as receiving-service sensitivity, not a solved water level or backwater field."
HATYAI,W,Urb,report-supported membership; exact point junction aggregated / unspecified,"Hat Yai report pp. 3, 10, 21, 24-26: distinct inputs, two principal lakeward corridors and common receiving lake.",one logical link in unit-delay mode; synthetic 1-4 ticks in heterogeneous mode,1.0,all routed load to next coarse node,"Urb is a shared floodplain entry aggregate, not a claim that six streams meet at a single point. Canal split 50:50 is a neutral assumption. Lake restriction is represented only as receiving-service sensitivity, not a solved water level or backwater field."
HATYAI,A,Urb,report-supported membership; exact point junction aggregated / unspecified,"Hat Yai report pp. 3, 10, 21, 24-26: distinct inputs, two principal lakeward corridors and common receiving lake.",one logical link in unit-delay mode; synthetic 1-4 ticks in heterogeneous mode,1.0,all routed load to next coarse node,"Urb is a shared floodplain entry aggregate, not a claim that six streams meet at a single point. Canal split 50:50 is a neutral assumption. Lake restriction is represented only as receiving-service sensitivity, not a solved water level or backwater field."
HATYAI,T,Urb,report-supported membership; exact point junction aggregated / unspecified,"Hat Yai report pp. 3, 10, 21, 24-26: distinct inputs, two principal lakeward corridors and common receiving lake.",one logical link in unit-delay mode; synthetic 1-4 ticks in heterogeneous mode,1.0,all routed load to next coarse node,"Urb is a shared floodplain entry aggregate, not a claim that six streams meet at a single point. Canal split 50:50 is a neutral assumption. Lake restriction is represented only as receiving-service sensitivity, not a solved water level or backwater field."
HATYAI,H,Urb,report-supported membership; exact point junction aggregated / unspecified,"Hat Yai report pp. 3, 10, 21, 24-26: distinct inputs, two principal lakeward corridors and common receiving lake.",one logical link in unit-delay mode; synthetic 1-4 ticks in heterogeneous mode,1.0,all routed load to next coarse node,"Urb is a shared floodplain entry aggregate, not a claim that six streams meet at a single point. Canal split 50:50 is a neutral assumption. Lake restriction is represented only as receiving-service sensitivity, not a solved water level or backwater field."
HATYAI,L,Urb,report-supported membership; exact point junction aggregated / unspecified,"Hat Yai report pp. 3, 10, 21, 24-26: distinct inputs, two principal lakeward corridors and common receiving lake.",one logical link in unit-delay mode; synthetic 1-4 ticks in heterogeneous mode,1.0,all routed load to next coarse node,"Urb is a shared floodplain entry aggregate, not a claim that six streams meet at a single point. Canal split 50:50 is a neutral assumption. Lake restriction is represented only as receiving-service sensitivity, not a solved water level or backwater field."
HATYAI,Urb,D0,report-supported membership; exact point junction aggregated / unspecified,"Hat Yai report pp. 3, 10, 21, 24-26: distinct inputs, two principal lakeward corridors and common receiving lake.",one logical link in unit-delay mode; synthetic 1-4 ticks in heterogeneous mode,0.5,"assumed equal split, not measured","Urb is a shared floodplain entry aggregate, not a claim that six streams meet at a single point. Canal split 50:50 is a neutral assumption. Lake restriction is represented only as receiving-service sensitivity, not a solved water level or backwater field."
HATYAI,Urb,D1,report-supported membership; exact point junction aggregated / unspecified,"Hat Yai report pp. 3, 10, 21, 24-26: distinct inputs, two principal lakeward corridors and common receiving lake.",one logical link in unit-delay mode; synthetic 1-4 ticks in heterogeneous mode,0.5,"assumed equal split, not measured","Urb is a shared floodplain entry aggregate, not a claim that six streams meet at a single point. Canal split 50:50 is a neutral assumption. Lake restriction is represented only as receiving-service sensitivity, not a solved water level or backwater field."
HATYAI,D0,R,report-supported membership; exact point junction aggregated / unspecified,"Hat Yai report pp. 3, 10, 21, 24-26: distinct inputs, two principal lakeward corridors and common receiving lake.",one logical link in unit-delay mode; synthetic 1-4 ticks in heterogeneous mode,1.0,all routed load to next coarse node,"Urb is a shared floodplain entry aggregate, not a claim that six streams meet at a single point. Canal split 50:50 is a neutral assumption. Lake restriction is represented only as receiving-service sensitivity, not a solved water level or backwater field."
HATYAI,D1,R,report-supported membership; exact point junction aggregated / unspecified,"Hat Yai report pp. 3, 10, 21, 24-26: distinct inputs, two principal lakeward corridors and common receiving lake.",one logical link in unit-delay mode; synthetic 1-4 ticks in heterogeneous mode,1.0,all routed load to next coarse node,"Urb is a shared floodplain entry aggregate, not a claim that six streams meet at a single point. Canal split 50:50 is a neutral assumption. Lake restriction is represented only as receiving-service sensitivity, not a solved water level or backwater field."
HATYAI,R,O,report-supported membership; exact point junction aggregated / unspecified,"Hat Yai report pp. 3, 10, 21, 24-26: distinct inputs, two principal lakeward corridors and common receiving lake.",one logical link in unit-delay mode; synthetic 1-4 ticks in heterogeneous mode,1.0,all routed load to next coarse node,"Urb is a shared floodplain entry aggregate, not a claim that six streams meet at a single point. Canal split 50:50 is a neutral assumption. Lake restriction is represented only as receiving-service sensitivity, not a solved water level or backwater field."
